event_name,casualties,wounded,killed,city,state,location_type,rifles,shotguns,handguns,explosives,date_time,shooter_age,shooter_gender
Safeway Grocery,19,13,6,Tucson,Arizona,Open Space,0,0,1,0,2011-01-08T10:10:00Z,22,Male
Safeway Warehouse,6,5,1,Denver,Colorado,Commerce,0,0,1,0,2006-06-25T15:03:00Z,22,Male
Salon Meritage,8,1,7,Seal Beach,California,Commerce,0,0,3,0,2011-10-12T13:20:00Z,41,Male
Sandbar Sports Grill,4,3,1,Vail,Colorado,Commerce,0,0,1,0,2009-11-07T19:28:00Z,63,Male
Sandy Hook Elementary School and Residence,29,2,27,Newtown,Connecticut,Education,1,0,2,0,2012-12-14T00:00:00Z,20,Male
Santa Barbara U.S. Postal Processing and Distribution Center,6,0,6,Goleta,California,Government,0,0,1,0,2006-01-30T19:15:00Z,44,Female
Santa Fe High School,22,12,10,Santa Fe,Texas,Education,0,1,1,2,2018-05-18T07:30:00Z,17,Male
Santa Monica College and Residence,9,4,5,Santa Monica,California,Education,0,0,1,0,2013-06-07T11:52:00Z,23,Male
Santana High School,15,13,2,Santee,California,Education,0,0,1,0,2001-03-05T09:20:00Z,15,Male
Schlenker Automotive,2,1,1,Rockledge,Florida,Commerce,0,0,1,0,2017-11-17T16:30:00Z,28,Male
Seattle Pacific University,4,3,1,Seattle,Washington,Education,0,1,0,0,2014-06-05T15:25:00Z,26,Male
"Shelby Center, University of Alabama",6,3,3,Huntsville,Alabama,Education,0,0,1,0,2010-02-12T16:00:00Z,44,Female
Sikh Temple of Wisconsin,10,4,6,Oak Creek,Wisconsin,House of Worship,0,0,1,0,2012-08-05T10:25:00Z,40,Male
Sioux Steel Pro-Tec,3,2,1,Lennox,South Dakota,Commerce,0,0,1,0,2015-02-12T14:00:00Z,51,Male
Sister Marie Lenahan Wellness Center,2,1,1,Darby,Pennsylvania,Health Care,0,0,1,0,2014-07-24T14:20:00Z,49,Male
Southern California Edison Corporate Office Building,4,2,2,Irwindale,California,Commerce,0,0,1,0,2011-12-16T13:30:00Z,51,Male
Sparks Middle School,3,2,1,Sparks,Nevada,Education,0,0,1,0,2013-10-21T07:16:00Z,12,Male
St. Vincent's Hospital,3,3,0,Birmingham,Alabama,Health Care,0,0,1,0,2012-12-15T04:00:00Z,38,Male
"Streets of Tulsa, Oklahoma",2,1,1,Tulsa,Oaklahoma,Open Space,0,0,1,0,2012-04-06T01:03:00Z,19,Male
"Streets of Tulsa, Oklahoma",3,1,2,Tulsa,Oaklahoma,Open Space,0,0,1,0,2012-04-06T01:03:00Z,32,Male
SuccessTech Academy,4,4,0,Cleveland,Ohio,Education,0,0,2,0,2007-10-10T13:02:00Z,14,Male
"Syverud Law Office and Miller-Meier Limb and Brace, Inc.",2,2,0,Davenport,Iowa,Commerce,0,0,1,0,2015-10-26T13:56:00Z,40,Male
"T & T Trucking, Inc. and a Residence",5,0,5,Bakersfield,California,Commerce,0,0,1,0,2018-09-12T17:20:00Z,54,Male
Tacoma Mall,6,6,0,Tacoma,Washington,Commerce,1,0,1,0,2005-11-20T12:00:00Z,20,Male
Taft Union High School,2,2,0,Taft,California,Education,0,1,0,0,2013-01-10T08:59:00Z,16,Male
Target Store,10,8,2,Kansas City,Missouri,Commerce,1,0,0,0,2007-04-29T15:25:00Z,51,Male
Tennessee Valley Unitarian Universalist Church,9,7,2,Knoxville,Tennessee,House of Worship,0,1,0,0,2008-07-27T10:18:00Z,58,Male
The Cooler,4,4,0,Rock Falls,Illinois,Commerce,0,0,1,0,2017-04-15T21:30:00Z,32,Male
The Mall in Columbia,7,5,2,Columbia,Maryland,Commerce,0,1,0,1,2014-01-25T11:15:00Z,19,Male
"The Ohio State University, Maintenance Building",2,1,1,Columbus,Ohio,Education,0,0,2,0,2010-03-09T03:30:00Z,50,Male
The Pentagon,2,2,0,Arlington,Virginia,Government,0,0,1,0,2010-03-04T18:36:00Z,36,Male
The Zone,9,7,2,Portland,Oregon,Commerce,0,0,1,0,2009-01-24T22:37:00Z,24,Male
Tom Bradley International Terminal at Los Angeles International Airport,4,2,2,Los Angeles,California,Government,0,0,2,0,2002-07-04T11:30:00Z,43,Male
Townville Elementary School,5,3,2,Townville,South Carolina,Education,0,0,1,0,2016-09-28T13:45:00Z,14,Male
Tree of Life Synagogue,17,6,11,Pittsburgh,Pennsylvania,House of Worship,1,0,3,0,2018-10-27T09:45:00Z,46,Male
"Trestle Trail Bridge, Wisconsin",4,1,3,Menasha,Wisconsin,Open Space,0,0,2,0,2015-05-03T19:30:00Z,27,Male
Trolley Square Mall,9,4,5,Salt Lake City,Utah,Commerce,0,1,1,0,2007-02-12T18:42:00Z,18,Male
"Two Military Centers in Chattanooga, Tennessee",7,2,5,Chattanooga,Tennessee,Government,1,0,0,0,2015-07-16T10:51:00Z,24,Male
U.S. Army Recruiting Center,2,1,1,Little Rock,Arkansas,Government,2,0,1,0,2009-06-01T10:19:00Z,23,Male
Umpqua Community College,16,7,9,Roseburg,Oregon,Education,1,0,2,0,2015-10-01T10:38:00Z,26,Male
United Parcel Service,2,0,2,Birmingham,Alabama,Commerce,0,0,1,0,2014-09-23T09:20:00Z,45,Male
United States Holocaust Memorial Museum,1,0,1,Washington,D.C.,Government,1,0,0,0,2009-06-10T12:52:00Z,88,Male
University of Cincinnati Medical Center,1,1,0,Cincinnati,Ohio,Health Care,0,0,2,0,2017-12-20T14:00:00Z,20,Male
"University of Pittsburgh Medical Center, Western Psychiatric Institute and Clinic",8,7,1,Pittsburgh,Pennsylvania,Education,0,0,2,0,2012-03-08T13:40:00Z,30,Male
UPS Customer Center,8,5,3,San Francisco,California,Commerce,0,0,2,0,2017-06-14T08:55:00Z,38,Male
Valley Protein,4,2,2,Fresno,California,Commerce,0,0,1,0,2012-11-06T08:15:00Z,42,Male
Virginia Polytechnic Institute and State University,49,17,32,Blacksburg,Virginia,Education,0,0,2,0,2007-04-16T07:15:00Z,23,Male
Von Maur in Westroads Mall,12,4,8,Omaha,Nebraska,Commerce,1,0,0,0,2007-12-05T13:42:00Z,19,Male
Waffle House,8,4,4,Nashville,Tennessee,Commerce,1,0,0,0,2018-04-22T03:30:00Z,29,Male
Walmart,3,3,0,Reno,Nevada,Commerce,0,0,2,0,2010-10-29T08:57:00Z,45,Male
"Walmart in Thornton, Colorado",3,0,3,Thornton,Colorado,Commerce,0,0,1,0,2017-11-01T18:10:00Z,47,Male
Walmart Supercenter,2,1,1,Grand Forks,North Dakota,Commerce,0,0,1,0,2015-05-26T01:00:00Z,21,Male
Washington Navy Yard Building 197,19,7,12,Washington D.C.,Washington D.C.,Government,0,1,0,0,2013-09-16T08:16:00Z,34,Male
"Washington, D.C. Department of Public Works",2,1,1,Washington D.C.,Washington D.C.,Government,NA,NA,NA,NA,2010-10-13T06:14:00Z,NA,NA
Watkins Motor Lines,5,3,2,West Chester,Ohio,Commerce,0,0,2,0,2003-11-06T09:57:00Z,50,Male
Weis Supermarket,3,0,3,Tunkhannock,Pennsylvania,Commerce,0,2,0,0,2017-06-08T01:00:00Z,24,Male
Wendy's Fast Food Restaurant,5,4,1,West Palm Beach,Florida,Commerce,0,0,1,0,2008-03-03T12:15:00Z,60,Male
West Liberty-Salem High School,2,2,0,West Liberty,Ohio,Education,0,1,0,0,2017-01-20T07:36:00Z,17,Male
West Nickel Mines School,10,5,5,Bart Township,Pennsylvania,Education,1,1,1,0,2006-10-02T10:30:00Z,32,Male
Weston High School,1,0,1,Cazenovia,Wisconsin,Education,1,0,1,0,2006-09-29T08:00:00Z,15,Male
Windy City Core Supply Inc,6,0,6,Chicago,Illinois,Commerce,0,0,1,0,2003-08-27T08:30:00Z,36,Male
WTS Paradigm,4,4,0,Middleton,Wisconsin,Commerce,0,0,1,0,2018-09-19T10:30:00Z,43,Male
Youth with a Mission Training Center/New Life Church,9,5,4,Colorado Springs,Colorado,House of Worship,1,0,2,2,2007-12-09T00:29:00Z,24,Male
YouTube Headquarters,4,4,0,San Bruno,California,Commerce,0,0,1,0,2018-04-03T12:45:00Z,39,Female
Yoyito Café,7,3,4,Hialeah,Florida,Commerce,0,0,1,0,2010-06-06T22:00:00Z,37,Male
ZigZag Net Inc,4,1,3,Philadelphia,Pennsylvania,Commerce,1,0,1,0,2007-02-12T20:00:00Z,44,Male
