Active Shooter Event,Active Shooter Casualties,Active Shooter Wounded,Active Shooter Killed,City,State,Location Type,Rifles,Shotguns,Handguns,Explosives,Date,Time ,Age of Shooter,Gender of Shooter
Residence Latah County Courthouse and First Presbyterian Church,6,3,3,Moscow,Idaho,Government,2,0,0,0,5/19/2007,11:00:00 PM,36,Male
Reynolds High School,2,1,1,Portland,Oregon,Education,1,0,1,0,6/10/2014,8:05:00 AM,15,Male
"Reynolds, Smith and Hills",6,5,1,Orlando,Florida,Commerce,0,0,1,0,11/6/2009,11:44:00 AM,40,Male
Rite Aid Perryman Distribution Center's Liberty Support Center,6,3,3,Aberdeen,Maryland,Commerce,0,0,1,0,9/20/2018,9:06:00 AM,26,Female
Rocori High School,2,0,2,Cold Spring,Minnesota,Education,0,0,1,0,9/24/2003,11:35:00 AM,15,Male
Route 91 Harvest Festival,547,489,58,Las Vegas,Nevada,Open Space,4,0,0,0,10/1/2017,10:08:00 PM,64,Male
Safeway Grocery,19,13,6,Tucson,Arizona,Open Space,0,0,1,0,1/8/2011,10:10:00 AM,22,Male
Safeway Warehouse,6,5,1,Denver,Colorado,Commerce,0,0,1,0,6/25/2006,3:03:00 PM,22,Male
Salon Meritage,8,1,7,Seal Beach,California,Commerce,0,0,3,0,10/12/2011,1:20:00 PM,41,Male
Sandbar Sports Grill,4,3,1,Vail,Colorado,Commerce,0,0,1,0,11/7/2009,7:28:00 PM,63,Male
Sandy Hook Elementary School and Residence,29,2,27,Newtown,Connecticut,Education,1,0,2,0,12/14/2012,12:00:00 AM,20,Male
Santa Barbara U.S. Postal Processing and Distribution Center,6,0,6,Goleta,California,Government,0,0,1,0,1/30/2006,7:15:00 PM,44,Female
Santa Fe High School,22,12,10,Santa Fe,Texas,Education,0,1,1,2,5/18/2018,7:30:00 AM,17,Male
Santa Monica College and Residence,9,4,5,Santa Monica,California,Education,0,0,1,0,6/7/2013,11:52:00 AM,23,Male
Santana High School,15,13,2,Santee,California,Education,0,0,1,0,3/5/2001,9:20:00 AM,15,Male
Schlenker Automotive,2,1,1,Rockledge,Florida,Commerce,0,0,1,0,11/17/2017,4:30:00 PM,28,Male
Seattle Pacific University,4,3,1,Seattle,Washington,Education,0,1,0,0,6/5/2014,3:25:00 PM,26,Male
"Shelby Center, University of Alabama",6,3,3,Huntsville,Alabama,Education,0,0,1,0,2/12/2010,4:00:00 PM,44,Female
Sikh Temple of Wisconsin,10,4,6,Oak Creek,Wisconsin,House of Worship,0,0,1,0,8/5/2012,10:25:00 AM,40,Male
Sioux Steel Pro-Tec,3,2,1,Lennox,South Dakota,Commerce,0,0,1,0,2/12/2015,2:00:00 PM,51,Male
Sister Marie Lenahan Wellness Center,2,1,1,Darby,Pennsylvania,Health Care,0,0,1,0,7/24/2014,2:20:00 PM,49,Male
Southern California Edison Corporate Office Building,4,2,2,Irwindale,California,Commerce,0,0,1,0,12/16/2011,1:30:00 PM,51,Male
Sparks Middle School,3,2,1,Sparks,Nevada,Education,0,0,1,0,10/21/2013,7:16:00 AM,12,Male
St. Vincent's Hospital,3,3,0,Birmingham,Alabama,Health Care,0,0,1,0,12/15/2012,4:00:00 AM,38,Male
"Streets of Tulsa, Oklahoma",2,1,1,Tulsa,Oaklahoma,Open Space,0,0,1,0,4/6/2012,1:03:00 AM,19,Male
"Streets of Tulsa, Oklahoma",3,1,2,Tulsa,Oaklahoma,Open Space,0,0,1,0,4/6/2012,1:03:00 AM,32,Male
SuccessTech Academy,4,4,0,Cleveland,Ohio,Education,0,0,2,0,10/10/2007,1:02:00 PM,14,Male
"Syverud Law Office and Miller-Meier Limb and Brace, Inc.",2,2,0,Davenport,Iowa,Commerce,0,0,1,0,10/26/2015,1:56:00 PM,40,Male
"T & T Trucking, Inc. and a Residence",5,0,5,Bakersfield,California,Commerce,0,0,1,0,9/12/2018,5:20:00 PM,54,Male
Tacoma Mall,6,6,0,Tacoma,Washington,Commerce,1,0,1,0,11/20/2005,12:00:00 PM,20,Male
Taft Union High School,2,2,0,Taft,California,Education,0,1,0,0,1/10/2013,8:59:00 AM,16,Male
Target Store,10,8,2,Kansas City,Missouri,Commerce,1,0,0,0,4/29/2007,3:25:00 PM,51,Male
Tennessee Valley Unitarian Universalist Church,9,7,2,Knoxville,Tennessee,House of Worship,0,1,0,0,7/27/2008,10:18:00 AM,58,Male
The Cooler,4,4,0,Rock Falls,Illinois,Commerce,0,0,1,0,4/15/2017,9:30:00 PM,32,Male
The Mall in Columbia,7,5,2,Columbia,Maryland,Commerce,0,1,0,1,1/25/2014,11:15:00 AM,19,Male
"The Ohio State University, Maintenance Building",2,1,1,Columbus,Ohio,Education,0,0,2,0,3/9/2010,3:30:00 AM,50,Male
The Pentagon,2,2,0,Arlington,Virginia,Government,0,0,1,0,3/4/2010,6:36:00 PM,36,Male
The Zone,9,7,2,Portland,Oregon,Commerce,0,0,1,0,1/24/2009,10:37:00 PM,24,Male
Tom Bradley International Terminal at Los Angeles International Airport,4,2,2,Los Angeles,California,Government,0,0,2,0,7/4/2002,11:30:00 AM,43,Male
Townville Elementary School,5,3,2,Townville,South Carolina,Education,0,0,1,0,9/28/2016,1:45:00 PM,14,Male
Tree of Life Synagogue,17,6,11,Pittsburgh,Pennsylvania,House of Worship,1,0,3,0,10/27/2018,9:45:00 AM,46,Male
"Trestle Trail Bridge, Wisconsin",4,1,3,Menasha,Wisconsin,Open Space,0,0,2,0,5/3/2015,7:30:00 PM,27,Male
Trolley Square Mall,9,4,5,Salt Lake City,Utah,Commerce,0,1,1,0,2/12/2007,6:42:00 PM,18,Male
"Two Military Centers in Chattanooga, Tennessee",7,2,5,Chattanooga,Tennessee,Government,1,0,0,0,7/16/2015,10:51:00 AM,24,Male
U.S. Army Recruiting Center,2,1,1,Little Rock,Arkansas,Government,2,0,1,0,6/1/2009,10:19:00 AM,23,Male
Umpqua Community College,16,7,9,Roseburg,Oregon,Education,1,0,2,0,10/1/2015,10:38:00 AM,26,Male
United Parcel Service,2,0,2,Birmingham,Alabama,Commerce,0,0,1,0,9/23/2014,9:20:00 AM,45,Male
United States Holocaust Memorial Museum,1,0,1,Washington,D.C.,Government,1,0,0,0,6/10/2009,12:52:00 PM,88,Male
University of Cincinnati Medical Center,1,1,0,Cincinnati,Ohio,Health Care,0,0,2,0,12/20/2017,2:00:00 PM,20,Male
"University of Pittsburgh Medical Center, Western Psychiatric Institute and Clinic",8,7,1,Pittsburgh,Pennsylvania,Education,0,0,2,0,3/8/2012,1:40:00 PM,30,Male
UPS Customer Center,8,5,3,San Francisco,California,Commerce,0,0,2,0,6/14/2017,8:55:00 AM,38,Male
Valley Protein,4,2,2,Fresno,California,Commerce,0,0,1,0,11/6/2012,8:15:00 AM,42,Male
Virginia Polytechnic Institute and State University,49,17,32,Blacksburg,Virginia,Education,0,0,2,0,4/16/2007,7:15:00 AM,23,Male
Von Maur in Westroads Mall,12,4,8,Omaha,Nebraska,Commerce,1,0,0,0,12/5/2007,1:42:00 PM,19,Male
Waffle House,8,4,4,Nashville,Tennessee,Commerce,1,0,0,0,4/22/2018,3:30:00 AM,29,Male
Walmart,3,3,0,Reno,Nevada,Commerce,0,0,2,0,10/29/2010,8:57:00 AM,45,Male
"Walmart in Thornton, Colorado",3,0,3,Thornton,Colorado,Commerce,0,0,1,0,11/1/2017,6:10:00 PM,47,Male
Walmart Supercenter,2,1,1,Grand Forks,North Dakota,Commerce,0,0,1,0,5/26/2015,1:00:00 AM,21,Male
Washington Navy Yard Building 197,19,7,12,Washington D.C.,Washington D.C.,Government,0,1,0,0,9/16/2013,8:16:00 AM,34,Male
"Washington, D.C. Department of Public Works",2,1,1,Washington D.C.,Washington D.C.,Government,,,,,10/13/2010,6:14:00 AM,,
Watkins Motor Lines,5,3,2,West Chester,Ohio,Commerce,0,0,2,0,11/6/2003,9:57:00 AM,50,Male
Weis Supermarket,3,0,3,Tunkhannock,Pennsylvania,Commerce,0,2,0,0,6/8/2017,1:00:00 AM,24,Male
Wendy's Fast Food Restaurant,5,4,1,West Palm Beach,Florida,Commerce,0,0,1,0,3/3/2008,12:15:00 PM,60,Male
West Liberty-Salem High School,2,2,0,West Liberty,Ohio,Education,0,1,0,0,1/20/2017,7:36:00 AM,17,Male
West Nickel Mines School,10,5,5,Bart Township,Pennsylvania,Education,1,1,1,0,10/2/2006,10:30:00 AM,32,Male
Weston High School,1,0,1,Cazenovia,Wisconsin,Education,1,0,1,0,9/29/2006,8:00:00 AM,15,Male
Windy City Core Supply Inc,6,0,6,Chicago,Illinois,Commerce,0,0,1,0,8/27/2003,8:30:00 AM,36,Male
WTS Paradigm,4,4,0,Middleton,Wisconsin,Commerce,0,0,1,0,9/19/2018,10:30:00 AM,43,Male
Youth with a Mission Training Center/New Life Church,9,5,4,Colorado Springs,Colorado,House of Worship,1,0,2,2,12/9/2007,12:29:00 AM,24,Male
YouTube Headquarters,4,4,0,San Bruno,California,Commerce,0,0,1,0,4/3/2018,12:45:00 PM,39,Female
Yoyito Café,7,3,4,Hialeah,Florida,Commerce,0,0,1,0,6/6/2010,10:00:00 PM,37,Male
ZigZag Net Inc,4,1,3,Philadelphia,Pennsylvania,Commerce,1,0,1,0,2/12/2007,8:00:00 PM,44,Male
