Active Shooter Event,Active Shooter Casualties,Active Shooter Wounded,Active Shooter Killed,City,State,Location Type,Rifles,Shotguns,Handguns,Explosives,Date,Time ,Age of Shooter,Gender of Shooter
"Cole Hall Auditorium, Northern Illinois University",21,16,5,DeKalb,Illinois,Education,0,1,3,0,2/14/2008,3:00:00 PM,27,Male
Columbia High School,1,1,0,East Greenbush,New York,Education,0,1,0,0,2/9/2004,10:30:00 AM,16,Male
ConAgra Plant,8,2,6,Kansas City,Kansas,Commerce,0,0,1,0,7/2/2004,5:00:00 PM,21,Male
Co-op City Apartment Building's Leasing Office,3,2,1,Bronx,New York,Commerce,0,0,1,0,8/30/2007,7:50:00 AM,44,Male
"Copley Township Neighborhood, Ohio",8,1,7,Copley Township,Ohio,Residence,0,0,2,0,8/7/2011,10:55:00 AM,51,Male
Copper Top Bar,18,18,0,Tuscaloosa,Alabama,Commerce,1,0,0,0,7/17/2012,12:29:00 AM,44,Male
Crawford County Courthouse,1,1,0,Girard,Kansas,Government,1,0,3,0,9/13/2011,3:37:00 PM,48,Male
Dad's Sing Along Club,2,2,0,San Antonio,Texas,Commerce,0,0,1,0,3/14/2015,2:00:00 AM,29,Male
DaimlerChrysler's Toledo North Assembly Plant,3,2,1,Toledo,Ohio,Commerce,0,1,0,0,1/26/2005,8:34:00 PM,54,Male
Days Inn and Volunteer Parkway,4,3,1,Bristol,Tennessee,Open Space,1,0,1,0,7/7/2016,2:18:00 AM,37,Male
Deer Creek Middle School,2,2,0,Littleton,Colorado,Education,1,0,0,0,2/23/2010,3:10:00 PM,32,Male
Dixon High School,0,0,0,Dixon,Illinois,Education,1,0,0,0,5/16/2018,8:00:00 AM,19,Male
Dollar General Store,1,1,0,Cheektowaga,New York,Commerce,2,0,0,0,11/14/2017,4:30:00 PM,29,Male
Edgewater Technology Inc.,7,0,7,Wakefield,Massachusetts,Commerce,1,1,1,0,12/26/2000,11:15:00 AM,42,Male
Emanuel African Methodist Epispocal Church,9,0,9,Charleston,South Carolina,House of Worship,1,0,0,0,6/17/2015,9:00:00 PM,21,Male
Emcore Corporation,6,4,2,Albuquerque,New Mexico,Commerce,0,0,1,0,7/12/2010,9:30:00 AM,37,Male
Essex Elementary School and Two Residences,4,2,2,Essex,Vermont,Education,0,0,1,0,8/24/2006,1:55:00 PM,26,Male
Eugene Simpson Stadium Park,4,4,0,Alexandria,Virginia,Open Space,1,0,1,0,6/14/2017,7:15:00 AM,66,Male
"Excel Industries and Newton and Hesston, Kansas",17,14,3,Newton,Kansas,Commerce,1,0,1,0,2/25/2016,4:57:00 PM,38,Male
Family Dental Care,5,4,1,Simi Valley,California,Commerce,1,0,0,0,7/1/2009,10:30:00 AM,30,Male
Farm King Store,0,0,0,Macomb,Illinois,Commerce,1,0,0,0,2/3/2010,12:45:00 PM,19,Male
Federal Express,6,6,0,Kennesaw,Georgio,Commerce,0,1,0,1,4/29/2014,5:50:00 AM,19,Male
Fiamma Inc.,5,0,5,Orlando,Florida,Commerce,0,0,1,0,6/5/2017,8:00:00 AM,45,Male
Fifth Third Center,5,2,3,Cincinnati,Ohio,Commerce,0,0,1,0,9/6/2018,9:10:00 AM,29,Male
"First Baptist Church in Sutherland Springs, Texas",46,20,26,Sutherland Springs,Texas,House of Worship,1,0,0,0,11/5/2017,11:20:00 AM,26,Male
Florida State University,3,3,0,Tallahassee,Florida,Education,0,0,1,0,11/20/2014,12:00:00 AM,31,Male
Forsyth County Courthouse,1,1,0,Cumming,Georgio,Government,1,0,3,2,6/6/2014,10:00:00 AM,48,Male
Fort Bliss Convenience Store,2,1,1,El Paso,Texas,Government,0,0,1,0,9/20/2010,3:00:00 PM,63,Male
Fort Hood Army Base,15,12,3,Fort Hood,Texas,Government,0,0,1,0,4/2/2014,4:00:00 PM,34,Male
Fort Hood Soldier Readiness Processing Center,45,32,13,Fort Hood,Texas,Government,0,0,2,0,11/5/2009,1:20:00 PM,39,Male
Fort Lauderdale-Hollywood International Airport,13,8,5,Fort Lauderdale,Florida,Government,0,0,1,0,1/6/2017,1:15:00 PM,26,Male
Forza Coffee Shop,4,0,4,Tacoma,Washington,Commerce,0,0,1,0,11/29/2009,8:15:00 AM,37,Male
"Frankstown Township, Pennsylvania",6,3,3,Frankstown Township,Pennsylvania,Open Space,0,0,2,0,12/21/2012,8:59:00 AM,44,Male
Freeman High School,4,3,1,Rockford,Washington,Education,1,0,1,0,9/13/2017,10:00:00 AM,15,Male
FreightCar America,4,3,1,Roanoke,Virginia,Commerce,0,0,1,0,10/25/2016,6:00:00 AM,53,Male
"Gainesville, Florida",6,5,1,Gainesville,Florida,Open Space,0,0,1,0,10/4/2010,4:00:00 PM,24,Male
Giordano and Giordano Law Office,5,3,2,Alexandria,Louisiana,Commerce,0,0,1,0,10/4/2007,2:00:00 PM,63,Male
GLHF Game Bar,13,11,2,Jacksonville,Florida,Commerce,0,0,2,0,8/26/2018,1:34:00 PM,24,Male
Gold Leaf Nursery,3,0,3,Boynton Beach,Florida,Commerce,0,0,1,0,7/28/2003,11:40:00 AM,45,Male
